"Fnc" "Time"
"262" "fnc_assign(y)" 62211986
"263" "fnc_prealloc(y)" 6556672
"264" "fnc_assign(y)" 90482578
"265" "fnc_combines(y)" 116271751
"266" "fnc_prealloc(y)" 6991166
"267" "fnc_combines(y)" 127963490
"268" "fnc_combines(y)" 122327571
"269" "fnc_prealloc(y)" 6728671
"270" "fnc_combines(y)" 117184778
"271" "fnc_combines(y)" 119143239
"272" "fnc_combines(y)" 164303863
"273" "fnc_combines(y)" 130371615
"274" "fnc_assign(y)" 76432363
"275" "fnc_combines(y)" 130306967
"276" "fnc_prealloc(y)" 7894554
"277" "fnc_assign(y)" 69895096
"278" "fnc_assign(y)" 67978702
"279" "fnc_assign(y)" 119393426
"280" "fnc_prealloc(y)" 7526679
"281" "fnc_assign(y)" 77661886
"282" "fnc_prealloc(y)" 8386794
"283" "fnc_prealloc(y)" 8229606
"284" "fnc_assign(y)" 81431235
"285" "fnc_assign(y)" 74027331
"286" "fnc_assign(y)" 83139035
"287" "fnc_prealloc(y)" 7025265
"288" "fnc_assign(y)" 118992824
"289" "fnc_prealloc(y)" 10521506
"290" "fnc_combines(y)" 133093005
"291" "fnc_prealloc(y)" 9188183
"292" "fnc_prealloc(y)" 7449850
"293" "fnc_prealloc(y)" 9701041
"294" "fnc_combines(y)" 137152380
"295" "fnc_combines(y)" 129783012
"296" "fnc_combines(y)" 129148070
"297" "fnc_combines(y)" 131188475
"298" "fnc_prealloc(y)" 8717954
"299" "fnc_prealloc(y)" 7475743
"300" "fnc_combines(y)" 169931867
