"Fnc" "Time"
"415" "fnc_assign(y100)" 116055
"416" "fnc_assign(y30000)" 573837033
"417" "fnc_assign(y10000)" 63841017
"418" "fnc_assign(y50000)" 1618945262
"419" "fnc_assign(y30000)" 572728643
"420" "fnc_assign(y1000)" 2185481
"421" "fnc_assign(y100)" 99611
"422" "fnc_assign(y20000)" 261175843
"423" "fnc_assign(y1000)" 1315953
"424" "fnc_assign(y1000)" 2202327
"425" "fnc_assign(y50000)" 1596123809
"426" "fnc_assign(y1000)" 1307596
"427" "fnc_assign(y30000)" 629855948
"428" "fnc_assign(y1000)" 3221963
"429" "fnc_assign(y50000)" 1894912294
"430" "fnc_assign(y20000)" 265281787
"431" "fnc_assign(y5000)" 18765161
"432" "fnc_assign(y50000)" 1625690600
"433" "fnc_assign(y20000)" 261238542
"434" "fnc_assign(y10000)" 63890433
"435" "fnc_assign(y20000)" 294574973
"436" "fnc_assign(y40000)" 1027924058
"437" "fnc_assign(y10000)" 62979029
"438" "fnc_assign(y10000)" 62281573
"439" "fnc_assign(y30000)" 572436808
"440" "fnc_assign(y100)" 121569
"441" "fnc_assign(y1000)" 2056136
"442" "fnc_assign(y50000)" 1993066338
"443" "fnc_assign(y100)" 117983
"444" "fnc_assign(y5000)" 55189331
"445" "fnc_assign(y1000)" 2247540
"446" "fnc_assign(y10000)" 62399307
"447" "fnc_assign(y20000)" 285212545
"448" "fnc_assign(y1000)" 2504091
"449" "fnc_assign(y5000)" 25168064
"450" "fnc_assign(y5000)" 23901221
"451" "fnc_assign(y100)" 201773
"452" "fnc_assign(y5000)" 24633296
"453" "fnc_assign(y30000)" 603076117
"454" "fnc_assign(y20000)" 232725650
"455" "fnc_assign(y30000)" 567472384
"456" "fnc_assign(y5000)" 18028490
"457" "fnc_assign(y100)" 109820
"458" "fnc_assign(y30000)" 613892089
"459" "fnc_assign(y30000)" 745572873
"460" "fnc_assign(y50000)" 1775649918
"461" "fnc_assign(y20000)" 303838794
"462" "fnc_assign(y100)" 179218
"463" "fnc_assign(y10000)" 125162791
"464" "fnc_assign(y20000)" 320063027
"465" "fnc_assign(y30000)" 735067227
"466" "fnc_assign(y20000)" 343890694
"467" "fnc_assign(y40000)" 1184629871
"468" "fnc_assign(y100)" 111516
"469" "fnc_assign(y50000)" 1963376936
"470" "fnc_assign(y20000)" 345336835
"471" "fnc_assign(y40000)" 1239831095
"472" "fnc_assign(y20000)" 275443221
"473" "fnc_assign(y1000)" 1345554
"474" "fnc_assign(y40000)" 1158917732
"475" "fnc_assign(y5000)" 23237439
"476" "fnc_assign(y30000)" 638086641
"477" "fnc_assign(y1000)" 1459296
"478" "fnc_assign(y100)" 110997
"479" "fnc_assign(y50000)" 1872977260
"480" "fnc_assign(y20000)" 351989178
"481" "fnc_assign(y1000)" 1331693
"482" "fnc_assign(y30000)" 675970581
"483" "fnc_assign(y1000)" 2106581
"484" "fnc_assign(y50000)" 1996352639
"485" "fnc_assign(y5000)" 24818787
"486" "fnc_assign(y100)" 121185
"487" "fnc_assign(y1000)" 1534934
"488" "fnc_assign(y20000)" 302501813
"489" "fnc_assign(y40000)" 1311648056
"490" "fnc_assign(y1000)" 1878536
"491" "fnc_assign(y1000)" 2739032
"492" "fnc_assign(y20000)" 323708126
"493" "fnc_assign(y10000)" 71729851
"494" "fnc_assign(y5000)" 18235385
"495" "fnc_assign(y20000)" 264221326
"496" "fnc_assign(y100)" 124599
"497" "fnc_assign(y10000)" 65385364
"498" "fnc_assign(y5000)" 18512706
"499" "fnc_assign(y10000)" 63095586
"500" "fnc_assign(y5000)" 18046941
"501" "fnc_assign(y10000)" 64326379
"502" "fnc_assign(y20000)" 299708785
"503" "fnc_assign(y100)" 134028
"504" "fnc_assign(y5000)" 18834824
"505" "fnc_assign(y30000)" 656612352
"506" "fnc_assign(y50000)" 1831106210
"507" "fnc_assign(y50000)" 1594308777
"508" "fnc_assign(y100)" 128705
"509" "fnc_assign(y10000)" 93206250
"510" "fnc_assign(y20000)" 233292350
"511" "fnc_assign(y100)" 136935
"512" "fnc_assign(y10000)" 90763066
